class,cl001,cl002,cl003,cl004,cl005,cl006,cl007,cl008,cl009,cl014,cl015,cl021,cl022,cl023,cl024,cl025,cl026,cl052,cl076,cl077,cl078,cl079,cl098,cl099,cl100,cl110,cl120,cl140,cl174,cl200
baseline,0.05,0.05,3.09,5.3,7.5,3.09,3.09,5.3,7.5,0.05,0.05,0,0,0,0,0,1,3.09,3.09,3.09,3.09,3.09,112.14,61.37,3.09,57.15,57.15,57.15,3.09,3.09
potential,0.06,112.14,5.56,7.74,9.93,40,5.56,7.74,9.93,4.04,200,16.31,6.18,3.09,0.4,3.09,3.09,3.09,3.09,126.55,3.09,126.55,153.5,65.46,32.63,100.02,78.59,78.59,3.09,19.44
